neighborhood,cuisine,name,cost,complete,notes,line,menu,favorite_items,address
Brooklyn,BBQ,Dino BBQ,$,,,,https://www.dinosaurbarbque.com/location/brooklyn-ny/menus/,,
West Village,Cafe,The ELK,$,,,,http://www.theelknyc.com/eatdrink/,"Tumeric latte, avocado toast","128 Charles St, New York, NY 10014"
West Village,Cafe,11th Street Cafe,$,,,,http://www.11thstreetcafe.com/menu-1/,breakfast burrito,"327 W 11th St, New York, NY 10014"
Chelsea,Bagel Shop,Murray's Bagels,$,,,,http://murraysbagelschelsea.com/Menus_files/MURRAY-DELIVERY_FINAL.pdf,,
Chelsea,Hummus,Dizengoff,$,,,,,,
Chelsea,Donuts,Doughnut Plant,$,,,,,,
East Village,Bagel Shop,Tompkins Square Bagels,$,,,,,,
East Village,BBQ,Mighty Quinn's BBQ,$,,,,,,
East Village,Mexican,Otto's Tacos,$,X,,,,,
East Village,Dumplings,Mimi Cheng's Dumplings,$,,,,,,
Flatiron,Burger,Shake Shack,$,,,,,,
Greenwich Village,Middle Eastern,Mamoun's,$,,,,,,
West Village,BBQ,Mighty Quinn's BBQ,$,,,,,,
West Village,Mexican,Tacombi,$,,,,,,
West Village,Mexican,Otto's Tacos,$,X,,,,,
West Village,Pizza,Bleecker Street Pizza,$,,,,,,
West Village,Pizza,Joe's Pizza,$,,,,,,
West Village,Pizza,John's of Bleecker Street,$,,Whole pies only,,,,
Nolita,Bagel Shop,Black Seed,$,X,Tofu cc,,,,
LES,Donuts,Doughnut Plant,$,X,"Tres Leches, Brooklyn Blackout",,,,
West Village,Filipino,2nd City,$,X,Cali Burrito,,,,
Nolita,Mexican,Tacombi,$,,,,,,
Nolita,Cuban,Cafe Habana,$,,,,,,
Brooklyn,Pizza,Emmy Squared,$$,X,"Burger, Colony",,,,
Brooklyn,Peruvian,Llama Inn,$$,,Drinks,,,,
Brooklyn,BBQ,Fette Sau,$$,,,,,,
West Village,American,Bubbys,$$,X,,,,,
Chelsea,Ramen,Jun-Men,$$,,,,,,
East Village,Ramen,Momofuku Noodle Bar,$$,,,,,,
East Village,Southern,Root and Bone,$$,,Fried chicken,,,,
East Village,American,Brindle Room,$$,,,,,,
East Village,Mexican,Empellon Al Pastor,$$,X,Chesse Burger Taco,,,,
East Village,Chinese,Han Dynasty,$$,,,,,,
East Village,Mediterranean,Cafe Orlin,$$,,,,,,
East Village,Korean,Thursday Kitchen,$$,,,,,,
Flatiron,Pizza,Marta,$$,,,,,,
Flatiron,Mexican,Cosme,$$,,,,,,
West Village,Italian,Via Corota,$$,,,,,,
West Village,Mexican,Empellon Taqueria,$$,,,,,,
West Village,American,Chumley's,$$,,,,,,
Greenwich Village,Mexican,Burrito Loco,$$,,,,,,
West Village,Mexican,Mole,$$,,,,,,
Nolita,Thai,Uncle Boons,$$,,,,,,
Midtown,American,Upland,$$,,,,,,
LES,Breakfast,Clinton Street Bakery,$$,,"Cash only, pancakes",,,,
Brooklyn,Italian,Lilia,$$$,,,,,,
Chelsea,Spanish,Salina,$$$,,,,,,
Chelsea,Spanish Tapas,Toro,$$$,,,,,,
Chelsea,Spanish,Txikito,$$$,,,,,,
Brooklyn,Pizza/Burgers,Pizza Loves Emily (Clinton Hill),$$$,,"Burger, Colony, For the Nguyen",,,,
East Village,Italian,Supper,$$$,,,,,,
East Village,Italian,Lil Frankies,$$$,,,,,,
East Village,Italian,L'Apicio,$$$,,,,,,
East Village,Seafood,Mermaid Inn,$$$,,Great happy hour,,,,
East Village,Mediterranean,Pylos,$$$,,,,,,
Gramercy,British,The Breslin,$$$,,,,,,
Union Square,American,ABC Kitchen,$$$,,,,,,
Union Square,Mediterranean,Aldea,$$$,,,,,,
West Village,Italian,L'Artusi,$$$,X,,,,,
West Village,Pizza/Burgers,Pizza Loves Emily (W. Village),$$$,,"Burger, Colony, For the Nguyen",,,,
Greenwich Village,Seafood,Mermaid Inn,$$$,,Great happy hour,,,,
West Village,Italian,Barbuto,$$$,,,,,,
West Village,Italian,Santina,$$$,,,,,,
West Village,American,Houseman,$$$,,,,,,
LES,Vegetarian,Dirt Candy,$$$,X,"Korean fried broccoli, Beet cosmos ",,,,
LES,American,Prune,$$$,,,,,,
Soho,Mexican,Dos Caminos,$$$,,,,,,
Soho,French,Balthazar,$$$,,,,,,
Soho,Italian,Pasquale Jones,$$$,,,,,,
Soho,Italian,Charlie Bird,$$$,,,,,,
Brooklyn,Steak,Peter Lugers,$$$$,,Steak,,,,
Gramercy,American,Gotham Bar & Grill,$$$$,,,,,,
Greenwich Village,Italian,Carbone,$$$$,,Veal parm,,,,
Midtown,French,Per Se,$$$$,,,,,,
Greenwich Village,Seafood,Flex Mussels,$$,,,,,,